cat,gene_list,genes
sensory organ development,<chr>,prom_-2.73657407852779_2.83892872817808e-14_2.07e-08_rau_-0.665159044482046_0.00939515260481737_5.64e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
sensory system development,<chr>,prom_-2.73657407852779_2.83892872817808e-14_2.07e-08_rau_-0.665159044482046_0.00939515260481737_5.64e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
cell morphogenesis involved in differentiation,<chr>,prom_-2.73657407852779_2.83892872817808e-14_2.07e-08_rau_-0.665159044482046_0.00939515260481737_5.64e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
enzyme linked receptor protein signaling pathway,<chr>,prom_-2.73657407852779_2.83892872817808e-14_2.07e-08_osa_0.70263493406971_5.84260827833511e-07_3.26e-05_rau_-0.665159044482046_0.00939515260481737_5.64e-05
negative regulation of developmental process,<chr>,CG42383_-5.58711218595524_0.000148660184320633_2.07e-08_BBS4_-4.10809765755377_0.00052201602620366_7.76e-06_sra_0.503075204696094_2.96606382950168e-05_3.72e-05
regulation of protein modification process,<chr>,CG42383_-5.58711218595524_0.000148660184320633_2.07e-08_sra_0.503075204696094_2.96606382950168e-05_3.72e-05
positive regulation of developmental process,<chr>,CG42383_-5.58711218595524_0.000148660184320633_2.07e-08_ago_0.563998902200919_0.000146227175631492_3.98e-05
aminoglycan metabolic process,<chr>,CG42383_-5.58711218595524_0.000148660184320633_2.07e-08_ago_0.563998902200919_0.000146227175631492_3.98e-05
gene silencing,<chr>,Mur89F_-4.4038772405687_1.30311510930315e-05_7.46e-07
cation transport,<chr>,msl-2_-0.984064509294132_0.000936182155674888_3.24e-06_osa_0.70263493406971_5.84260827833511e-07_3.26e-05
muscle structure development,<chr>,msl-2_-0.984064509294132_0.000936182155674888_3.24e-06
negative regulation of nucleobase-containing compound metabolic process,<chr>,Lgr1_-1.79194924994731_4.08760359034086e-06_3.64e-06_Dgk_-1.48007307973127_2.2650623088318e-07_1.45e-05_mAChR-A_-1.29681619168475_5.60101316736421e-05_3.81e-05_CG43373_-2.39604725330874_3.93538066641709e-10_5.52e-05_CG43795_-2.42734614850674_6.59100490402664e-13_6.81e-05_CG1339_-5.0469464384802_4.92312848821928e-05_9.4e-05
second-messenger-mediated signaling,<chr>,Lgr1_-1.79194924994731_4.08760359034086e-06_3.64e-06_mAChR-A_-1.29681619168475_5.60101316736421e-05_3.81e-05_rau_-0.665159044482046_0.00939515260481737_5.64e-05
regulation of embryonic development,<chr>,Lgr1_-1.79194924994731_4.08760359034086e-06_3.64e-06_sra_0.503075204696094_2.96606382950168e-05_3.72e-05_CG43373_-2.39604725330874_3.93538066641709e-10_5.52e-05
syncytium formation,<chr>,Lgr1_-1.79194924994731_4.08760359034086e-06_3.64e-06_mAChR-A_-1.29681619168475_5.60101316736421e-05_3.81e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05_rau_-0.665159044482046_0.00939515260481737_5.64e-05
embryonic pattern specification,<chr>,BBS4_-4.10809765755377_0.00052201602620366_7.76e-06
taxis,<chr>,BBS4_-4.10809765755377_0.00052201602620366_7.76e-06_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
mitotic cell cycle,<chr>,BBS4_-4.10809765755377_0.00052201602620366_7.76e-06
cell part morphogenesis,<chr>,ham_-1.19027602903505_6.23872191303206e-05_1.49e-05_Mp_-0.568592072056759_0.000635087650454811_1.8e-05_erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05_robo3_-2.11607410478811_1.09546511811413e-05_7.48e-05_Dscam3_-2.68807324574923_1.18984593139708e-10_9.38e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
neuron projection development,<chr>,ham_-1.19027602903505_6.23872191303206e-05_1.49e-05_Mp_-0.568592072056759_0.000635087650454811_1.8e-05_erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05_robo3_-2.11607410478811_1.09546511811413e-05_7.48e-05_Dscam3_-2.68807324574923_1.18984593139708e-10_9.38e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
regionalization,<chr>,ham_-1.19027602903505_6.23872191303206e-05_1.49e-05_Mp_-0.568592072056759_0.000635087650454811_1.8e-05_erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05_robo3_-2.11607410478811_1.09546511811413e-05_7.48e-05_Dscam3_-2.68807324574923_1.18984593139708e-10_9.38e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
central nervous system development,<chr>,ham_-1.19027602903505_6.23872191303206e-05_1.49e-05_osa_0.70263493406971_5.84260827833511e-07_3.26e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05
chromatin organization,<chr>,ham_-1.19027602903505_6.23872191303206e-05_1.49e-05_erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_osa_0.70263493406971_5.84260827833511e-07_3.26e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
embryonic morphogenesis,<chr>,ham_-1.19027602903505_6.23872191303206e-05_1.49e-05_erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_osa_0.70263493406971_5.84260827833511e-07_3.26e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05
negative regulation of signaling,<chr>,ham_-1.19027602903505_6.23872191303206e-05_1.49e-05_osa_0.70263493406971_5.84260827833511e-07_3.26e-05
protein phosphorylation,<chr>,ham_-1.19027602903505_6.23872191303206e-05_1.49e-05
regulation of phosphorus metabolic process,<chr>,ham_-1.19027602903505_6.23872191303206e-05_1.49e-05_erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_osa_0.70263493406971_5.84260827833511e-07_3.26e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05
axis specification,<chr>,Mp_-0.568592072056759_0.000635087650454811_1.8e-05_erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05_robo3_-2.11607410478811_1.09546511811413e-05_7.48e-05_Dscam3_-2.68807324574923_1.18984593139708e-10_9.38e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
regulation of cell projection organization,<chr>,Mp_-0.568592072056759_0.000635087650454811_1.8e-05_Cad89D_-3.99628667648247_1.04205496031352e-07_8.63e-05_Dscam3_-2.68807324574923_1.18984593139708e-10_9.38e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
regulation of cell differentiation,<chr>,Rab3-GEF_-1.365717492132_2.29802829646626e-06_1.83e-05_osa_0.70263493406971_5.84260827833511e-07_3.26e-05_mAChR-A_-1.29681619168475_5.60101316736421e-05_3.81e-05
regulation of binding,<chr>,Rab3-GEF_-1.365717492132_2.29802829646626e-06_1.83e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05
cellularization,<chr>,Rab3-GEF_-1.365717492132_2.29802829646626e-06_1.83e-05_CG4629_-1.07292027240455_0.000279174534627405_3.6e-05
tissue migration,<chr>,Rab3-GEF_-1.365717492132_2.29802829646626e-06_1.83e-05_sra_0.503075204696094_2.96606382950168e-05_3.72e-05
maintenance of cell number,<chr>,Rab3-GEF_-1.365717492132_2.29802829646626e-06_1.83e-05_sra_0.503075204696094_2.96606382950168e-05_3.72e-05
response to drug,<chr>,Rab3-GEF_-1.365717492132_2.29802829646626e-06_1.83e-05
pyridine-containing compound metabolic process,<chr>,Rab3-GEF_-1.365717492132_2.29802829646626e-06_1.83e-05_Fili_-1.55533995843997_5.84664042295771e-06_6.4e-05
sensory perception,<chr>,Obp85a_-3.18720979634717_0.00632898002665326_2.83e-05_CG1339_-5.0469464384802_4.92312848821928e-05_9.4e-05
glutamate receptor signaling pathway,<chr>,erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_robo3_-2.11607410478811_1.09546511811413e-05_7.48e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
positive regulation of RNA biosynthetic process,<chr>,erm_-2.86021424690657_1.84585446407225e-07_2.87e-05
microtubule-based process,<chr>,erm_-2.86021424690657_1.84585446407225e-07_2.87e-05
head development,<chr>,erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_robo3_-2.11607410478811_1.09546511811413e-05_7.48e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
biological adhesion,<chr>,erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_osa_0.70263493406971_5.84260827833511e-07_3.26e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05
pole cell development,<chr>,erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
locomotory behavior,<chr>,erm_-2.86021424690657_1.84585446407225e-07_2.87e-05_osa_0.70263493406971_5.84260827833511e-07_3.26e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05
cell fate commitment,<chr>,osa_0.70263493406971_5.84260827833511e-07_3.26e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
G protein-coupled receptor signaling pathway,<chr>,osa_0.70263493406971_5.84260827833511e-07_3.26e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05
leg disc development,<chr>,osa_0.70263493406971_5.84260827833511e-07_3.26e-05
meiotic cell cycle,<chr>,osa_0.70263493406971_5.84260827833511e-07_3.26e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
cellular response to chemical stimulus,<chr>,osa_0.70263493406971_5.84260827833511e-07_3.26e-05_Fili_-1.55533995843997_5.84664042295771e-06_6.4e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
appendage development,<chr>,osa_0.70263493406971_5.84260827833511e-07_3.26e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
lamellipodium organization,<chr>,osa_0.70263493406971_5.84260827833511e-07_3.26e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
post-embryonic animal morphogenesis,<chr>,osa_0.70263493406971_5.84260827833511e-07_3.26e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
gliogenesis,<chr>,osa_0.70263493406971_5.84260827833511e-07_3.26e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
metamorphosis,<chr>,osa_0.70263493406971_5.84260827833511e-07_3.26e-05_Fili_-1.55533995843997_5.84664042295771e-06_6.4e-05
organelle fission,<chr>,osa_0.70263493406971_5.84260827833511e-07_3.26e-05_mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
morphogenesis of a polarized epithelium,<chr>,SerT_-2.7347181149311_5.22146654579344e-05_3.51e-05_CG10960_0.497580988710747_0.00159894912369765_5.37e-05
positive regulation of cellular component organization,<chr>,SerT_-2.7347181149311_5.22146654579344e-05_3.51e-05
response to endogenous stimulus,<chr>,CG4629_-1.07292027240455_0.000279174534627405_3.6e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05
eye-antennal disc development,<chr>,CG4629_-1.07292027240455_0.000279174534627405_3.6e-05
post-embryonic animal organ development,<chr>,CG4629_-1.07292027240455_0.000279174534627405_3.6e-05
mating,<chr>,sra_0.503075204696094_2.96606382950168e-05_3.72e-05_Jhe_-2.10292568077475_0.0005438609087857_6.54e-05_intr_-7.21161444421452_0.000722376800654913_6.75e-05
chemosensory behavior,<chr>,sra_0.503075204696094_2.96606382950168e-05_3.72e-05_Jhe_-2.10292568077475_0.0005438609087857_6.54e-05_intr_-7.21161444421452_0.000722376800654913_6.75e-05
epidermis development,<chr>,sra_0.503075204696094_2.96606382950168e-05_3.72e-05_rad_-1.92191696552914_6.05890260855847e-13_4.64e-05
regulation of nervous system development,<chr>,sra_0.503075204696094_2.96606382950168e-05_3.72e-05
response to oxygen-containing compound,<chr>,sra_0.503075204696094_2.96606382950168e-05_3.72e-05_Jhe_-2.10292568077475_0.0005438609087857_6.54e-05_intr_-7.21161444421452_0.000722376800654913_6.75e-05
organelle assembly,<chr>,sra_0.503075204696094_2.96606382950168e-05_3.72e-05_ago_0.563998902200919_0.000146227175631492_3.98e-05
developmental maturation,<chr>,mAChR-A_-1.29681619168475_5.60101316736421e-05_3.81e-05_Jhe_-2.10292568077475_0.0005438609087857_6.54e-05
cell death,<chr>,mAChR-A_-1.29681619168475_5.60101316736421e-05_3.81e-05_Jhe_-2.10292568077475_0.0005438609087857_6.54e-05_CG32103_0.349815813544575_0.00931988117644947_9.2e-05
positive regulation of protein metabolic process,<chr>,Gpdh_0.425186096228606_0.00182905608115192_3.86e-05
cell recognition,<chr>,Gpdh_0.425186096228606_0.00182905608115192_3.86e-05
embryo development ending in birth or egg hatching,<chr>,ago_0.563998902200919_0.000146227175631492_3.98e-05
reproductive behavior,<chr>,ago_0.563998902200919_0.000146227175631492_3.98e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
cytoplasm organization,<chr>,ago_0.563998902200919_0.000146227175631492_3.98e-05_rau_-0.665159044482046_0.00939515260481737_5.64e-05
protein polymerization,<chr>,CG10960_0.497580988710747_0.00159894912369765_5.37e-05
wing disc development,<chr>,rau_-0.665159044482046_0.00939515260481737_5.64e-05
male gamete generation,<chr>,rau_-0.665159044482046_0.00939515260481737_5.64e-05
cilium organization,<chr>,mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
localization of cell,<chr>,mam_0.636792797613183_7.85580769058464e-05_6.31e-05_shg_0.575127004379095_5.76738435707864e-05_9.41e-05
cellular macromolecule catabolic process,<chr>,intr_-7.21161444421452_0.000722376800654913_6.75e-05
eggshell formation,<chr>,robo3_-2.11607410478811_1.09546511811413e-05_7.48e-05_Dscam3_-2.68807324574923_1.18984593139708e-10_9.38e-05
detection of stimulus,<chr>,CG1339_-5.0469464384802_4.92312848821928e-05_9.4e-05
cell projection assembly,<chr>,shg_0.575127004379095_5.76738435707864e-05_9.41e-05
establishment of tissue polarity,<chr>,shg_0.575127004379095_5.76738435707864e-05_9.41e-05
cell-cell signaling,<chr>,shg_0.575127004379095_5.76738435707864e-05_9.41e-05
regulation of anatomical structure morphogenesis,<chr>,shg_0.575127004379095_5.76738435707864e-05_9.41e-05
establishment or maintenance of cell polarity,<chr>,shg_0.575127004379095_5.76738435707864e-05_9.41e-05
photoreceptor cell differentiation,<chr>,shg_0.575127004379095_5.76738435707864e-05_9.41e-05
negative regulation of response to stimulus,<chr>,shg_0.575127004379095_5.76738435707864e-05_9.41e-05
body morphogenesis,<chr>,shg_0.575127004379095_5.76738435707864e-05_9.41e-05
peptidyl-amino acid modification,<chr>,shg_0.575127004379095_5.76738435707864e-05_9.41e-05
nucleus organization,<chr>,shg_0.575127004379095_5.76738435707864e-05_9.41e-05
negative regulation of multicellular organismal process,<chr>,shg_0.575127004379095_5.76738435707864e-05_9.41e-05
