cat,genes.x,,,,genes.y,,,
sensory organ development,prom,-2.736574079,,,lola,0.757570081,,
sensory system development,prom,-2.736574079,,,lola,0.757570081,,
cell morphogenesis involved in differentiation,prom,-2.736574079,,,lola,0.757570081,,
muscle structure development,msl-2,-0.984064509,,,lola,0.757570081,Grip,-1.752141807
negative regulation of nucleobase-containing compound metabolic process,Lgr1,-1.79194925,,,Oaz,-4.194358783,,
taxis,BBS4,-4.108097658,,,lola,0.757570081,,
negative regulation of biosynthetic process,,,,,Oaz,-4.194358783,twin,0.83967647
positive regulation of RNA biosynthetic process,,,,,Oaz,-4.194358783,lola,0.757570081
cell fate commitment,,,,,lola,0.757570081,,
neuron projection development,,,,,lola,0.757570081,,
cell part morphogenesis,,,,,lola,0.757570081,,
wing disc development,,,,,lola,0.757570081,,
establishment or maintenance of cell polarity,,,,,lola,0.757570081,Grip,-1.752141807
photoreceptor cell differentiation,,,,,lola,0.757570081,,
appendage development,,,,,lola,0.757570081,,
epithelial tube morphogenesis,,,,,lola,0.757570081,,
establishment of tissue polarity,,,,,lola,0.757570081,,
post-embryonic animal organ development,,,,,lola,0.757570081,,
morphogenesis of a polarized epithelium,,,,,lola,0.757570081,,
post-embryonic animal morphogenesis,,,,,lola,0.757570081,,
metamorphosis,,,,,lola,0.757570081,,
sex differentiation,,,,,lola,0.757570081,,
reproductive system development,,,,,lola,0.757570081,,
cell recognition,,,,,lola,0.757570081,,
regulation of anatomical structure size,,,,,lola,0.757570081,,
cell-cell signaling,,,,,Grip,-1.752141807,,
biological adhesion,,,,,Grip,-1.752141807,,
protein catabolic process,,,,,CG13085,-2.649668366,,
dephosphorylation,,,,,CG16771,-0.828622288,,
cell division,,,,,twin,0.83967647,,
enzyme linked receptor protein signaling pathway,prom,-2.736574079,,,NA,,,
negative regulation of developmental process,CG42383,-5.587112186,BBS4,-4.108097658,,,,
regulation of protein modification process,CG42383,-5.587112186,,,,,,
positive regulation of developmental process,CG42383,-5.587112186,,,,,,
aminoglycan metabolic process,CG42383,-5.587112186,,,,,,
gene silencing,Mur89F,-4.403877241,,,,,,
cation transport,msl-2,-0.984064509,,,,,,
second-messenger-mediated signaling,Lgr1,-1.79194925,,,,,,
regulation of embryonic development,Lgr1,-1.79194925,,,,,,
syncytium formation,Lgr1,-1.79194925,,,,,,
embryonic pattern specification,BBS4,-4.108097658,,,,,,
mitotic cell cycle,BBS4,-4.108097658,,,,,,